id,primary_title,start_year,runtime_minutes,region,average_rating,num_votes
tt10152200,Bellezonismo,2019,97,US,1.9,178
tt10188148,The Exorcist Nurse,2018,94,GB,4.4,10
tt10860558,Commitment,2019,135,US,5.0,414
tt10996896,Gundu,2019,141,GB,7.2,999
tt11100434,Wilder vs. Ortiz,2019,270,US,7.1,9
tt1116183,Carmen's Kiss,2010,90,US,3.2,143
tt1283959,The Symmetry of Love,2010,81,GB,6.3,99
tt1413492,12 Strong,2018,130,GB,6.5,84221
tt1465851,Photographic,2012,81,US,3.9,38
tt1512276,That Side of a Shadow,2010,97,US,8.1,15
tt1639081,"The Banksters, Madoff with America",2013,110,US,6.2,40
tt1640714,The Christmas Bunny,2010,98,US,6.0,838
tt1656186,Stolen,2012,96,US,5.5,45510
tt1730669,2 Graves,2013,105,GB,6.8,6
tt1737683,Something to Share,2010,85,US,7.1,25
tt1754442,Román pro muze,2010,100,US,5.0,190
tt1848824,Claustrofobia,2011,94,GB,5.6,1051
tt1886770,Silent Summer,2013,89,GB,5.8,68
tt1931589,Thenmerku Paruvakaatru,2010,125,US,7.1,287
tt1961192,Marie Krøyer,2012,102,US,6.3,1391
tt2058597,Cosimo and Nicole,2012,100,GB,6.4,291
tt2066857,Big Blue Lake,2011,98,GB,5.3,69
tt2072230,Attack on Titan Part 1,2015,98,GB,5.1,14361
tt2077886,The Phantom of the Opera at the Royal Albert Hall,2011,137,GB,8.8,9388
tt2093074,Cass,2013,112,US,7.4,20
tt2156901,Beautiful World,2012,134,GB,6.2,83
tt2159988,The Walk,2015,89,GB,6.0,141
tt2224111,Christmas. Uncensored,2012,86,US,5.5,457
tt2257816,Midnight Stallion,2013,97,GB,5.1,412
tt2321309,Gabi,2012,115,GB,5.9,222
tt2334733,Madame Bovary,2014,118,US,5.7,8501
tt2334779,Qissa: The Tale of a Lonely Ghost,2013,109,US,6.6,986
tt2439190,A Mouse Tale,2012,87,GB,4.9,447
tt2487684,The Ravine of Goodbye,2013,116,GB,6.7,486
tt2553376,Tokumei Sentai Go-Busters vs. Kaizoku Sentai Gokaiger: The Movie,2013,60,GB,7.2,53
tt2651924,The Hit Girl,2013,86,GB,7.0,83
tt2672090,Joe Vampire,2012,67,GB,4.9,47
tt2737304,Bird Box,2018,124,GB,6.6,350049
tt2796678,The Opposite Sex,2014,97,US,4.5,1169
tt2800400,Wild Canaries,2014,96,GB,6.0,489
tt2966980,All Suspects,2013,113,US,6.7,6
tt2978626,It's Entertainment,2014,140,US,4.5,8932
tt3043630,Tiny Times,2013,116,GB,3.2,2344
tt3112264,Little Pieces,2015,80,GB,7.1,70
tt3129892,Cryptic,2014,93,US,4.8,226
tt3530690,"10,000 Days",2014,91,US,2.7,799
tt3883526,Micky's Summer Resort,2014,98,US,6.2,16
tt3974764,The Sound of a Flower,2015,109,GB,6.3,262
tt4136084,Florence Foster Jenkins,2016,111,GB,6.8,57187
tt4262980,Shin Godzilla,2016,120,US,6.8,29025
tt4301112,The Depths,2017,89,US,5.2,40
tt4522922,Tales from the Lodge,2019,93,US,5.4,1058
tt4659808,The Wolf's Lair,2015,102,US,7.0,69
tt4718440,Angry Painter,2015,104,GB,4.6,44
tt4875962,The Spearhead Effect,2017,87,US,5.0,289
tt4902138,Stealing Sunrise 2: Malibu Trail,2017,99,GB,8.0,18
tt5109784,Mother!,2017,121,US,6.6,230912
tt5195412,Wakefield,2016,106,US,6.3,17254
tt5259790,Party Crashers 2,2017,93,GB,4.4,161
tt5281018,You Can't Escape Lithuania,2016,80,GB,4.1,218
tt5804928,The Colorado,2016,86,GB,6.7,27
tt5997928,Hotel Salvation,2016,102,US,7.0,2262
tt6079186,Barefoot at Dawn,2017,118,US,6.6,204
tt6556670,Serial (Bad) Weddings 2,2019,99,US,6.1,8583
tt6754712,Blood Hunters: Rise of the Hybrids,2019,70,US,6.5,59
tt6958152,One,2017,148,US,6.1,307
tt7485508,Carmen & Lola,2018,103,GB,7.0,3014
tt7549996,Judy,2019,118,GB,6.8,51835
tt7632930,Trener,2018,138,GB,6.4,1417
tt7783966,The Challenger Disaster,2019,98,US,5.9,1061
tt7798644,Judy & Punch,2019,105,US,6.1,2879
tt7817568,The Sacrifice,2019,135,US,5.9,441
tt7996170,The Burying Party,2018,60,GB,6.6,135
tt8564614,The Feminist: A Swedish Inspiration,2018,92,US,6.0,57
tt9185066,Human Capital,2019,98,GB,5.7,9107
tt9812530,Warriors of the Nation,2018,95,US,6.1,87
